,0,1,2,3,4,5
0,2022年5月29日,举目仰望天堂，在地上走正义路,https://www.youtube.com/watch?v=j_zW1p6LcvY,诗篇 25,https://www.biblegateway.com/passage/?search=Psalm25&version=CUVS;NKJV,Mike Whittle 牧师
1,2022年5月22日,只有你最好的朋友会告诉你,https://www.youtube.com/watch?v=T78otd61mB4,罗马书 7:7-25,https://www.biblegateway.com/passage/?search=romans7:7-25&version=CUVS;NKJV,Mike Whittle 牧师
2,2022年5月15日,如何处置我们的忧虑,https://www.youtube.com/watch?v=ddbJPkyXHds,彼得前书 5:6-11,https://www.biblegateway.com/passage/?search=1Peter5:6-11&version=CUVS;NKJV,Mike Whittle 牧师
3,2022年5月8日,宝血活泉,https://www.youtube.com/watch?v=bDt07wo4T_0,撒迦利亚书 13,https://www.biblegateway.com/passage/?search=Zechariah13&version=CUVS;NKJV,Mike Whittle 牧师
4,2022年5月1日,真理是什么呢？,https://www.youtube.com/watch?v=c3Q9luWvYPs,约翰福音 18:33-38,https://www.biblegateway.com/passage/?search=john18:33-38&version=CUVS;NKJV,杨鹤皋牧师
5,2022年4月24日,不义的管家,https://www.youtube.com/watch?v=TnNrx0ajv1Y,路加福音 16:1-9,https://www.biblegateway.com/passage/?search=Luke16:1-9&version=CUVS;NKJV,Tim Grieves 牧师
6,2022年4月17日,我们将与他同活,https://www.youtube.com/watch?v=x8W94PtE2JI,罗马书 6:8-11,https://www.biblegateway.com/passage/?search=romans6:8-11&version=CUVS;NKJV,Mike Whittle 牧师
7,2022年4月10日,蒙拣选的人,https://www.youtube.com/watch?v=S0u-sGdjLno,帖撒罗尼迦前书 1:1-10,https://www.biblegateway.com/passage/?search=1Thessalonians1:1-10&version=CUVS;NKJV,宋胜牧师
8,2022年4月3日,对基督之死的反应,https://www.youtube.com/watch?v=h9rRacI56P4,约翰福音 19:28-37,https://www.biblegateway.com/passage/?search=john19:28-37&version=CUVS;NKJV,Mike Whittle 牧师
9,2022年3月27日,律法先生和恩典先生,https://www.youtube.com/watch?v=xtIJziBRhA4,罗马书 7:1-6,https://www.biblegateway.com/passage/?search=romans7:1-6&version=CUVS;NKJV,Mike Whittle 牧师
10,2022年3月20日,对付愤怒的酸噬,https://www.youtube.com/watch?v=_h078uNp0h8,马太福音 5:22-25,https://www.biblegateway.com/passage/?search=Matthew5:22-25&version=CUVS;NKJV,Mike Whittle 牧师
11,2022年3月13日,良仆或恶奴？,https://www.youtube.com/watch?v=yvlkNQlSjW8,罗马书 6:15-23,https://www.biblegateway.com/passage/?search=romans6:15-23&version=CUVS;NKJV,Mike Whittle 牧师
12,2022年3月6日,信者的脚踪,https://www.youtube.com/watch?v=lCZw_vmhNpI,诗篇 40:1-3,https://www.biblegateway.com/passage/?search=Psalm40:1-3&version=CUVS;NKJV,Mike Whittle 牧师
13,2022年2月27日,记得我们的名字,https://www.youtube.com/watch?v=z2P3YDdk8ck,罗马书 6:11-14,https://www.biblegateway.com/passage/?search=romans6:11-14&version=CUVS;NKJV,Mike Whittle 牧师
14,2022年2月20日,你真的爱我吗？,https://www.youtube.com/watch?v=VEIzNwt7Wyg,约翰福音 21:15-19,https://www.biblegateway.com/passage/?search=john21:15-19&version=CUVS;NKJV,Mike Whittle 牧师
15,2022年2月13日,地下室里的老者,https://www.youtube.com/watch?v=P-iHT4n-3I0,罗马书 6:5-10,https://www.biblegateway.com/passage/?search=romans6:5-10&version=CUVS;NKJV,Mike Whittle 牧师
16,2022年2月6日,狮子和圣经,https://www.youtube.com/watch?v=eew6ddviIaM,启示录 5:1-10,https://www.biblegateway.com/passage/?search=Revelation5:1-10&version=CUVS;NKJV,Mike Whittle 牧师
17,2022年1月30日,已被称义的基督徒会活在罪中吗,https://www.youtube.com/watch?v=Dd0e3RHoMNM,罗马书 6:1-4,https://www.biblegateway.com/passage/?search=romans6:1-4&version=CUVS;NKJV,Mike Whittle 牧师
18,2022年1月23日,四个简单的途径让你享受当下,https://www.youtube.com/watch?v=_XchGrGmZIg,传道书 9:7-11,https://www.biblegateway.com/passage/?search=Ecclesiastes9:7-11&version=CUVS;NKJV,Mike Whittle 牧师
19,2022年1月16日,人类悲剧的解答,https://www.youtube.com/watch?v=X40FZl7YALs,罗马书 5:12-21,https://www.biblegateway.com/passage/?search=romans5:12-21&version=CUVS;NKJV,Mike Whittle 牧师
20,2022年1月9日,岂没有更多吗？,https://www.youtube.com/watch?v=G0X-6TTzhso,罗马书 5:9-11,https://www.biblegateway.com/passage/?search=romans5:9-11&version=CUVS;NKJV,Mike Whittle 牧师
21,2022年1月2日,选择，持守，奔跑,https://www.youtube.com/watch?v=ZsjVNa8oOmI,诗篇 119:30-32,https://www.biblegateway.com/passage/?search=Psalm119:30-32&version=CUVS;NKJV,Mike Whittle 牧师
22,2021年12月26日,赏赐者，礼物和接受者,https://www.youtube.com/watch?v=l0Ulo24S0-g,加拉太书 4:4-7,https://www.biblegateway.com/passage/?search=Galatians4:4-7&version=CUVS;NKJV,Mike Whittle 牧师
23,2021年12月19日,圣诞天使,https://www.youtube.com/watch?v=Mr8jwitNN-0,路加福音 1:26-38,https://www.biblegateway.com/passage/?search=Luke1:26-38&version=CUVS;NKJV,Mike Whittle 牧师
24,2021年12月12日,我如何能确定,https://www.youtube.com/watch?v=c7Yu4uKVheM,路加福音 1:8-25,https://www.biblegateway.com/passage/?search=Luke1:8-25&version=CUVS;NKJV,Mike Whittle 牧师
25,2021年12月5日,拯救世界的爱,https://www.youtube.com/watch?v=OgYmlPp1ToU,罗马书 5:6-8,https://www.biblegateway.com/passage/?search=romans5:6-8&version=CUVS;NKJV,Mike Whittle 牧师
26,2021年11月28日,健康的信徒,https://www.youtube.com/watch?v=-1TnJlFSjsg,诗篇 34,https://www.biblegateway.com/passage/?search=Psalm34&version=CUVS;NKJV,Mike Whittle 牧师
27,2021年11月21日,与神相和,https://www.youtube.com/watch?v=HEdNHLvvTlQ,罗马书 5:1-11,https://www.biblegateway.com/passage/?search=romans5:1-11&version=CUVS;NKJV,Mike Whittle 牧师
28,2021年11月14日,称恶人为义,https://www.youtube.com/watch?v=eC_10n9TV3I,罗马书 4:1-17,https://www.biblegateway.com/passage/?search=romans4:1-17&version=CUVS;NKJV,Mike Whittle 牧师
29,2021年11月7日,被上帝离弃,https://www.youtube.com/watch?v=Yi-3mePCDo0,马可福音 15:33-37,https://www.biblegateway.com/passage/?search=Mark15:33-37&version=CUVS;NKJV,Mike Whittle 牧师
30,2021年10月31日,重价的敬拜,https://www.youtube.com/watch?v=JcEHC08_5qU,撒母耳记下 24,https://www.biblegateway.com/passage/?search=2Samuel+24&version=CUVS;NKJV,Tim Grieves 牧师
31,2021年10月24日,没有可夸,https://www.youtube.com/watch?v=rrghDUwvDcc,罗马书 3:21-31,https://www.biblegateway.com/passage/?search=romans3:21-31&version=CUVS;NKJV,Mike Whittle 牧师
32,2021年10月17日,永生神的印,https://www.youtube.com/watch?v=LIp7UOPdszU,启示录 7:1-8,https://www.biblegateway.com/passage/?search=Revelation7:1-8&version=CUVS;NKJV,宋胜牧师
33,2021年10月10日,献上感恩的心,https://www.youtube.com/watch?v=DpjHj05Fknc,诗篇 100,https://www.biblegateway.com/passage/?search=Psalm100&version=CUVS;NKJV,Mike Whittle 牧师
34,2021年10月3日,纪念这鞭打,https://www.youtube.com/watch?v=42YjWFQoZ78,马可福音 15:15-20,https://www.biblegateway.com/passage/?search=Mark15:15-20&version=CUVS;NKJV,Mike Whittle 牧师
35,2021年9月26日,叫所有人哑口无言,https://www.youtube.com/watch?v=RE1RFjIDdaQ,罗马书 3:9-20,https://www.biblegateway.com/passage/?search=romans3:9-20&version=CUVS;NKJV,Mike Whittle 牧师
36,2021年9月19日,别转圈，要向前,https://www.youtube.com/watch?v=tyRpQutMirs,提摩太前书 6:3-21,https://www.biblegateway.com/passage/?search=1Timothy6:3-21&version=CUVS;NKJV,Mike Whittle 牧师
37,2021年9月12日,被掳的得释放,https://www.youtube.com/watch?v=RjDhcYyJ4DA,耶利米书 24:1-7,https://www.biblegateway.com/passage/?search=Jeremiah24:1-7&version=CUVS;NKJV,Mike Whittle 牧师
38,2021年9月5日,被耶稣吸引,https://www.youtube.com/watch?v=SOELBOjPsS8,约翰福音 12:37-46,https://www.biblegateway.com/passage/?search=john12:37-46&version=CUVS;NKJV,Mike Whittle 牧师
39,2021年8月29日,宗教的正确之处,https://www.youtube.com/watch?v=Tn69HG3bYEY,罗马书 3:1-4,https://www.biblegateway.com/passage/?search=romans3:1-4&version=CUVS;NKJV,Mike Whittle 牧师
40,2021年8月22日,宗教错在哪儿,https://www.youtube.com/watch?v=ixviDw2bUMQ,罗马书 2:17-29,https://www.biblegateway.com/passage/?search=romans2:17-29&version=CUVS;NKJV,Mike Whittle 牧师
41,2021年8月15日,好意铺就的地狱之路,https://www.youtube.com/watch?v=7Wefv2Sv_0I,罗马书 2:1-4,https://www.biblegateway.com/passage/?search=romans2:1-4&version=CUVS;NKJV,Mike Whittle 牧师
42,2021年8月8日,人远离神则神任凭人,https://www.youtube.com/watch?v=fGU8FpM43vU,罗马书 1:26-32,https://www.biblegateway.com/passage/?search=romans1:16-32&version=CUVS;NKJV,Mike Whittle 牧师
43,2021年8月1日,“钉十字架”,https://www.youtube.com/watch?v=o6YntRExc78,马可福音 15:1-32,https://www.biblegateway.com/passage/?search=Mark15:1-32&version=CUVS;NKJV,Mike Whittle 牧师
44,2021年7月25日,神明明可见,https://www.youtube.com/watch?v=GnTKlXUFxXc,罗马书 1:18-25,https://www.biblegateway.com/passage/?search=romans1:18-25&version=CUVS;NKJV,Mike Whittle 牧师
45,2021年7月18日,福音简言之,https://www.youtube.com/watch?v=qqIA7JFCLhw,约翰福音 3:16-21,https://www.biblegateway.com/passage/?search=john3:16-21&version=CUVS;NKJV,Keith Grant
46,2021年7月11日,义人必因信得生,https://www.youtube.com/watch?v=v76Z1XuNcqg,罗马书 1:17,https://www.biblegateway.com/passage/?search=romans1:17&version=CUVS;NKJV,Mike Whittle 牧师
47,2021年7月4日,上帝的炸药,https://www.youtube.com/watch?v=QMqtRaZsX5M,罗马书 1:16,https://www.biblegateway.com/passage/?search=romans1:16&version=CUVS;NKJV,Mike Whittle 牧师
48,2021年6月27日,会说话的信心,https://www.youtube.com/watch?v=GfObDwUr5O4,罗马书 1:8-15,https://www.biblegateway.com/passage/?search=romans1:8-15&version=CUVS;NKJV,Mike Whittle 牧师
49,2021年6月20日,父亲们的五个功课,https://www.youtube.com/watch?v=9TDuYOmJMQs,,,Mike Whittle 牧师
50,2021年6月13日,上帝给你的消息,https://www.youtube.com/watch?v=qol2xWRFRnI,罗马书 1:1-7,https://www.biblegateway.com/passage/?search=romans1:1-7&version=CUVS;NKJV,Mike Whittle 牧师
51,2021年6月6日,远远地跟随,https://www.youtube.com/watch?v=4tAM7Vd2NxQ,马可福音 14:43-45,https://www.biblegateway.com/passage/?search=Mark14:43-45&version=CUVS;NKJV,Mike Whittle 牧师
52,2021年5月30日,你是我藏身处,https://www.youtube.com/watch?v=qLraa6RqXDU,诗篇 32,https://www.biblegateway.com/passage/?search=Psalm32&version=CUVS;NKJV,Mike Whittle 牧师
53,2021年5月23日,听耶和华的声音,https://www.youtube.com/watch?v=Knde1FNSNwk,诗篇 29,https://www.biblegateway.com/passage/?search=Psalm29&version=CUVS;NKJV,Mike Whittle 牧师
54,2021年5月16日,最美好的事,https://www.youtube.com/watch?v=oZkJ5NzJdbw,诗篇 119:11,https://www.biblegateway.com/passage/?search=Psalm119:11&version=CUVS;NKJV,Mike Whittle 牧师
55,2021年5月9日,我只要一点碎渣,https://www.youtube.com/watch?v=3dYCWDV_kPI,马可福音 7:24-30,https://www.biblegateway.com/passage/?search=Mark7:24-30&version=CUVS;NKJV,Mike Whittle 牧师
56,2021年5月2日,他们做假见证要定祂的罪,https://www.youtube.com/watch?v=S5p1-QdL6aM,马可福音 14:53-65,https://www.biblegateway.com/passage/?search=Mark14:53-65&version=CUVS;NKJV,Mike Whittle 牧师
57,2021年4月28日,不是你爱的，而是爱你的,https://www.youtube.com/watch?v=fOk5u7I_nf8,创世记 30:1-24,https://www.biblegateway.com/passage/?search=Genesis30:1-24&version=CUVS;NKJV,Mike Whittle 牧师
58,2021年4月25日,救命！我需要有人帮助！,https://www.youtube.com/watch?v=VhSjTdxvN2I,诗篇 17,https://www.biblegateway.com/passage/?search=Psalm17&version=CUVS;NKJV,Mike Whittle 牧师
59,2021年4月21日,不冷不热的老底嘉教会,https://www.youtube.com/watch?v=ugzVS_1tKU8,启示录 3:14-22,https://www.biblegateway.com/passage/?search=Revelation3:14-22&version=CUVS;NKJV,宋胜牧师
60,2021年4月18日,智慧的开端,https://www.youtube.com/watch?v=B4YWKwIzAOk,箴言 1:1-7,https://www.biblegateway.com/passage/?search=Proverbs1:1-7&version=CUVS;NKJV,Mike Whittle 牧师
61,2021年4月14日,人所不欲者，神却接纳,https://www.youtube.com/watch?v=qM1pp2pEAis,创世记 29:15-25,https://www.biblegateway.com/passage/?search=Genesis29:15-25&version=CUVS;NKJV,Mike Whittle 牧师
62,2021年4月11日,恶土和佳园,https://www.youtube.com/watch?v=VC21mp8B6Qo,诗篇 1,https://www.biblegateway.com/passage/?search=Psalm1&version=CUVS;NKJV,Mike Whittle 牧师
63,2021年4月7日,浪漫爱情与神的眷顾,https://www.youtube.com/watch?v=tHtOZyL5s5g,创世记 29:1-14,https://www.biblegateway.com/passage/?search=Genesis29:1-14&version=CUVS;NKJV,Mike Whittle 牧师
64,2021年4月4日,我这就回来,https://www.youtube.com/watch?v=IRZRk8tq3tU,马可福音 16:1-8,https://www.biblegateway.com/passage/?search=Mark16:1-8&version=CUVS;NKJV,Mike Whittle 牧师
65,2021年4月2日,最后的呼吸,https://www.youtube.com/watch?v=vD6uNpzC4uU,马可福音 15:33-47,https://www.biblegateway.com/passage/?search=Mark15:33-47&version=CUVS;NKJV,Mike Whittle 牧师
66,2021年3月28日,死亡之吻,https://www.youtube.com/watch?v=J8cMF__r3sg,马可福音 14:43-52,https://www.biblegateway.com/passage/?search=Mark14:43-52&version=CUVS;NKJV,Mike Whittle 牧师
67,2021年3月24日,天梯,https://www.youtube.com/watch?v=ln4L5os95_I,创世记 28,https://www.biblegateway.com/passage/?search=Genesis28&version=CUVS;NKJV,Mike Whittle 牧师
68,2021年3月21日,黑暗的客西马尼,https://www.youtube.com/watch?v=vDQovO5_GII,马可福音 14:32-42,https://www.biblegateway.com/passage/?search=Mark14:32-42&version=CUVS;NKJV,Mike Whittle 牧师
69,2021年3月17日,靠主保守你的心,https://www.youtube.com/watch?v=2isEJyIzb2M,箴言 4:23,https://www.biblegateway.com/passage/?search=Proverbs4:23&version=CUVS;NKJV,何勇传道
70,2021年3月14日,你们都要跌倒,https://www.youtube.com/watch?v=TI_7EEqpsVU,马可福音 14:27-31,https://www.biblegateway.com/passage/?search=Mark14:27-31&version=CUVS;NKJV,Mike Whittle 牧师
71,2021年3月10日,长子祝福的争夺战,https://www.youtube.com/watch?v=aGcJ64vLSlg,创世记 27:1-46,https://www.biblegateway.com/passage/?search=Genesis27:1-46&version=CUVS;NKJV,Mike Whittle 牧师
72,2021年3月7日,主的晚餐,https://www.youtube.com/watch?v=mGMOTda5eyg,马可福音 14:12-26,https://www.biblegateway.com/passage/?search=Mark14:12-26&version=CUVS;NKJV,Mike Whittle 牧师
73,2021年3月3日,两个麻烦,https://www.youtube.com/watch?v=wTQNZ4RQPGo,创世记 25:19-34,https://www.biblegateway.com/passage/?search=Genesis25:19-34&version=CUVS;NKJV,Mike Whittle 牧师
74,2021年2月28日,主的二次降临,https://www.youtube.com/watch?v=fI9v5bJJLHo,马可福音 13:24-37,https://www.biblegateway.com/passage/?search=Mark13:24-37&version=CUVS;NKJV,Mike Whittle 牧师
75,2021年2月24日,绝不放弃生命,https://www.youtube.com/watch?v=24l-pJTBeug,创世记 25:1-11,https://www.biblegateway.com/passage/?search=Genesis25:1-11&version=CUVS;NKJV,Mike Whittle 牧师
76,2021年2月21日,单纯奉献的秘诀,https://www.youtube.com/watch?v=C2YVTWqQrNw,马可福音 12:41-44,https://www.biblegateway.com/passage/?search=Mark12:41-44&version=CUVS;NKJV,Mike Whittle 牧师
77,2021年2月17日,并且爱她--情人节信息,https://www.youtube.com/watch?v=oZ2-RwB0z9w,创世记 24,https://www.biblegateway.com/passage/?search=Genesis24&version=CUVS;NKJV,Mike Whittle 牧师
78,2021年2月14日,牛年新春,https://www.youtube.com/watch?v=djEBQREAU9M,路加福音 13:10-17,https://www.biblegateway.com/passage/?search=Luke13:10-17&version=CUVS;NKJV,Mike Whittle 牧师
79,2021年2月10日,撒拉 -- 心中充满盼望的女子,https://www.youtube.com/watch?v=TtE5gCQKtUQ,创世记 23:1-20,https://www.biblegateway.com/passage/?search=Genesis23:1-20&version=CUVS;NKJV,Mike Whittle 牧师
80,2021年2月7日,最大的诫命,https://www.youtube.com/watch?v=jM0tSJOt0L8,马可福音 12:28-34,https://www.biblegateway.com/passage/?search=Mark12:28-34&version=CUVS;NKJV,Mike Whittle 牧师
81,2021年2月3日,以撒和耶稣 -- 何等相似,https://www.youtube.com/watch?v=SIHtBByHfdo,创世记 21-22,https://www.biblegateway.com/passage/?search=Genesis21-22&version=CUVS;NKJV,Mike Whittle 牧师
82,2021年1月31日,时间，如此微小！永恒，何其广大！,https://www.youtube.com/watch?v=fyF7dKbOu1Y,马可福音 12:18-27,https://www.biblegateway.com/passage/?search=Mark12:18-27&version=CUVS;NKJV,Mike Whittle 牧师
83,2021年1月27日,回想罗得的妻子,https://www.youtube.com/watch?v=52vIvbGIScA,路加福音 17:20-37,https://www.biblegateway.com/passage/?search=Luke17:20-37&version=CUVS;NKJV,Mike Whittle 牧师
84,2021年1月24日,基督徒和政府,https://www.youtube.com/watch?v=QkbvjgmD83g,马可福音 12:13-17,https://www.biblegateway.com/passage/?search=Mark12:13-17&version=CUVS;NKJV,Mike Whittle 牧师
85,2021年1月20日,我们与罗得一同从毁灭中得拯救,https://www.youtube.com/watch?v=DB7BfuI2ptE,创世记 19:1-38,https://www.biblegateway.com/passage/?search=Genesis19:1-38&version=CUVS;NKJV,Mike Whittle 牧师
86,2021年1月17日,主所成就的奇妙大事,https://www.youtube.com/watch?v=iAODgIvXYNk,马可福音 12:1,https://www.biblegateway.com/passage/?search=Mark12:1&version=CUVS;NKJV,Mike Whittle 牧师
87,2021年1月13日,远离泥坑,https://www.youtube.com/watch?v=TTk4vv18qfU,创世记 18:16-33,https://www.biblegateway.com/passage/?search=Genesis18:16-33&version=CUVS;NKJV,Mike Whittle 牧师
88,2021年1月10日,我们不知道,https://www.youtube.com/watch?v=DcoiPk_MNiI,马可福音 11:27-33,https://www.biblegateway.com/passage/?search=Mark11:27-33&version=CUVS;NKJV,Mike Whittle 牧师
89,2021年1月6日,在疫情中认识真神,https://www.youtube.com/watch?v=XwckieRZK-M,使徒行传 17:22-34,https://www.biblegateway.com/passage/?search=acts17:22-34&version=CUVS;NKJV,Tee 牧师
90,2021年1月3日,遮掩罪过还是被遮盖的罪过,https://www.youtube.com/watch?v=FjAyIOQV3uo,箴言 28:13; 诗篇 32:1,"https://www.biblegateway.com/passage/?search=Proverbs28:13,Psalm32:1&version=CUVS;NKJV",Mike Whittle 牧师
91,2020年12月27日,健康生活八要素,https://www.youtube.com/watch?v=DUT0v9HR4FA,诗篇 36,https://www.biblegateway.com/passage/?search=Psalm36&version=CUVS;NKJV,Mike Whittle 牧师
92,2020年12月25日,有基督的圣诞节,https://www.youtube.com/watch?v=AfG7BErH4Yk,马太福音 2:1-12,https://www.biblegateway.com/passage/?search=Matthew2:1-12&version=CUVS;NKJV,Mike Whittle 牧师
93,2020年12月20日,最蒙福的女人玛利亚,https://www.youtube.com/watch?v=ukb6rkXlvmo,路加福音 1:26-38,https://www.biblegateway.com/passage/?search=Luke1:26-38&version=CUVS;NKJV,Mike Whittle 牧师
94,2020年12月16日,枯树与移山,https://www.youtube.com/watch?v=NU3P8Fkypgc,马可福音 11:20-25,https://www.biblegateway.com/passage/?search=Mark11:20-25&version=CUVS;NKJV,Mike Whittle 牧师
95,2020年12月13日,保罗的安慰,https://www.youtube.com/watch?v=fr5kyNMNaX8,哥林多后书 1:3-7,https://www.biblegateway.com/passage/?search=2Corinthians1:3-7&version=CUVS;NKJV,何勇传道
96,2020年12月9日,在神岂有难成的事,https://www.youtube.com/watch?v=3sRtSweYbZ4,创世记 18:1-18,https://www.biblegateway.com/passage/?search=Genesis18:1-18&version=CUVS;NKJV,Mike Whittle 牧师
97,2020年12月6日,加略山，黑沉沉的加略山,https://www.youtube.com/watch?v=iuhoO1_Fr9A,诗篇 22,https://www.biblegateway.com/passage/?search=Psalm22&version=CUVS;NKJV,Mike Whittle 牧师
98,2020年12月2日,一个要信靠并持守的应许,https://www.youtube.com/watch?v=muQlVxc_tUg,创世记 17,https://www.biblegateway.com/passage/?search=Genesis17&version=CUVS;NKJV,Mike Whittle 牧师
99,2020年11月29日,青蛙与天鹅,https://www.youtube.com/watch?v=RHXWn1T1bNE,马可福音 11:15-19,https://www.biblegateway.com/passage/?search=Mark11:15-19&version=CUVS;NKJV,Mike Whittle 牧师
100,2020年11月25日,没问题，错不到哪儿去,https://www.youtube.com/watch?v=J70PHv53GC8,创世记 16,https://www.biblegateway.com/passage/?search=Genesis16&version=CUVS;NKJV,Mike Whittle 牧师
101,2020年11月22日,高高在上和散那,https://www.youtube.com/watch?v=i_sYkGuz7r0,马可福音 11,https://www.biblegateway.com/passage/?search=Mark11&version=CUVS;NKJV,Mike Whittle 牧师
102,2020年11月18日,"信靠,信靠,信靠；不是苦试,苦试,苦试",https://www.youtube.com/watch?v=-FPkvgL6LdA,创世记 15:6,https://www.biblegateway.com/passage/?search=Genesis15:6&version=CUVS;NKJV,Mike Whittle 牧师
103,2020年11月15日,瞎眼今得看见,https://www.youtube.com/watch?v=dOKkWF6KAo8,马可福音 10:46-52,https://www.biblegateway.com/passage/?search=Mark10:46-52&version=CUVS;NKJV,Mike Whittle 牧师
104,2020年11月11日,战争中的基督徒,https://www.youtube.com/watch?v=XytltApYiBs,创世记 14,https://www.biblegateway.com/passage/?search=Genesis14&version=CUVS;NKJV,Mike Whittle 牧师
105,2020年11月8日,服侍人而不是被服侍,https://www.youtube.com/watch?v=3LBUj840fNI,马可福音 10:35-45,https://www.biblegateway.com/passage/?search=Mark10:35-45&version=CUVS;NKJV,Mike Whittle 牧师
106,2020年11月4日,罗得的选择和我们的选择,https://www.youtube.com/watch?v=EswZ-Xh4nAs,创世记 13,https://www.biblegateway.com/passage/?search=Genesis13&version=CUVS;NKJV,Mike Whittle 牧师
107,2020年11月1日,成为能饶恕的人,https://www.youtube.com/watch?v=w8GpU1YVgXw,以弗所書 4:30-32,https://www.biblegateway.com/passage/?search=Ephesians4:30-32&version=CUVS;NKJV,何勇传道
108,2020年10月28日,揣摩神的心意,https://www.youtube.com/watch?v=u0prPpP620A,历代志上 21:1-17,https://www.biblegateway.com/passage/?search=1Chronicles21:1-17&version=CUVS;NKJV,杨鹤皋牧师
109,2020年10月25日,一个人人都需要回答的问题,https://www.youtube.com/watch?v=voat5D7AiWs,马可福音 10:17-31,https://www.biblegateway.com/passage/?search=Mark10:17-31&version=CUVS;NKJV,Mike Whittle 牧师
110,2020年10月21日,呼召成为祝福,https://www.youtube.com/watch?v=3QCJAKK5A5w,创世记 12:1-9,https://www.biblegateway.com/passage/?search=Genesis12:1-9&version=CUVS;NKJV,Mike Whittle 牧师
111,2020年10月18日,离婚以及避免之法,https://www.youtube.com/watch?v=KqQ0ypl9kIw,马可福音 10:1-12,https://www.biblegateway.com/passage/?search=Mark10:1-12&version=CUVS;NKJV,Mike Whittle 牧师
